Type	Label
DATA	>UniRef50_UPI000377F3CF sulfite exporter TauE/SafE family protein n=2 Tax=Gammaproteobacteria TaxID=1236 RepID=UPI000377F3CF
DATA	>UniRef50_A0A7S3JNV8 Uncharacterized protein (Fragment) n=1 Tax=Euplotes harpa TaxID=151035 RepID=A0A7S3JNV8_9SPIT
DATA	>UniRef50_UPI0023B28524 alkaline phosphatase family protein n=2 Tax=Actinomycetes TaxID=1760 RepID=UPI0023B28524
DATA	>UniRef50_A0A0K8RPC9 Putative glycine rich protein (Fragment) n=2 Tax=Ixodes ricinus TaxID=34613 RepID=A0A0K8RPC9_IXORI
DATA	>UniRef50_A0A7S1Q4C3 Uncharacterized protein (Fragment) n=1 Tax=Alexandrium catenella TaxID=2925 RepID=A0A7S1Q4C3_ALECA
DATA	>UniRef50_A0A1B6HRZ6 Uncharacterized protein (Fragment) n=1 Tax=Homalodisca liturata TaxID=320908 RepID=A0A1B6HRZ6_9HEMI
DATA	>UniRef50_A0A7M5V293 tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] n=1 Tax=Clytia hemisphaerica TaxID=252671 RepID=A0A7M5V293_9CNID
DATA	>UniRef50_A0A9N9BIL3 1258_t:CDS:1 (Fragment) n=1 Tax=Paraglomus occultum TaxID=144539 RepID=A0A9N9BIL3_9GLOM
DATA	>UniRef50_F8PXG5 Uncharacterized protein (Fragment) n=1 Tax=Serpula lacrymans var. lacrymans (strain S7.3) TaxID=936435 RepID=F8PXG5_SERL3
DATA	>UniRef50_UPI0035681D5A hypothetical protein n=1 Tax=Bosea sp. (in: a-proteobacteria) TaxID=1871050 RepID=UPI0035681D5A
DATA	>UniRef50_A0A9N9IYK7 5395_t:CDS:1 (Fragment) n=2 Tax=Funneliformis TaxID=1117308 RepID=A0A9N9IYK7_9GLOM
DATA	>UniRef50_G5R6E2 Thiamin biosynthesis protein ThiC (Fragment) n=6 Tax=Gammaproteobacteria TaxID=1236 RepID=G5R6E2_SALSE
DATA	>UniRef50_A0A7S2NW03 Prolyl aminopeptidase (Fragment) n=1 Tax=Zooxanthella nutricula TaxID=1333877 RepID=A0A7S2NW03_9DINO
DATA	>UniRef50_UPI001C311E69 hypothetical protein n=1 Tax=Curtobacterium sp. MMLR14_014 TaxID=1898744 RepID=UPI001C311E69
DATA	>UniRef50_UPI002B6CB415 beta-ketoacyl reductase n=1 Tax=Accumulibacter sp. TaxID=2053492 RepID=UPI002B6CB415
DATA	>UniRef50_A0A7R9U4K3 Uncharacterized protein (Fragment) n=1 Tax=Pinguiococcus pyrenoidosus TaxID=172671 RepID=A0A7R9U4K3_9STRA
DATA	>UniRef50_UPI00290180B2 NAD/NADP octopine/nopaline dehydrogenase family protein n=1 Tax=Finegoldia magna TaxID=1260 RepID=UPI00290180B2
DATA	>UniRef50_A0A6J4UA52 Uncharacterized protein (Fragment) n=1 Tax=uncultured Thermomicrobiales bacterium TaxID=1645740 RepID=A0A6J4UA52_9BACT
DATA	>UniRef50_A0A1B6C5L1 Uncharacterized protein (Fragment) n=1 Tax=Clastoptera arizonana TaxID=38151 RepID=A0A1B6C5L1_9HEMI
DATA	>UniRef50_A0ABD3Y0W4 Ubiquitin-like domain-containing protein (Fragment) n=3 Tax=Sinanodonta woodiana TaxID=1069815 RepID=A0ABD3Y0W4_SINWO
DATA	>UniRef50_A0A6J4KUP7 Glycerol-3-phosphate dehydrogenase [NAD(P)+] (Fragment) n=1 Tax=uncultured Nocardioidaceae bacterium TaxID=253824 RepID=A0A6J4KUP7_9ACTN
DATA	>UniRef50_UPI0015E852B3 hypothetical protein n=1 Tax=Staphylococcus pseudintermedius TaxID=283734 RepID=UPI0015E852B3
DATA	>UniRef50_A0AA49X688 DNA-directed DNA polymerase (Fragment) n=1 Tax=Retropinna adenovirus 1 TaxID=3064104 RepID=A0AA49X688_9ADEN
DATA	>UniRef50_B6VEV7 Beta-actin (Fragment) n=2 Tax=Boreoeutheria TaxID=1437010 RepID=B6VEV7_NEOVI
DATA	>UniRef50_UPI0025BD9AE2 hypothetical protein n=1 Tax=Mesorhizobium sp. TaxID=1871066 RepID=UPI0025BD9AE2
DATA	>UniRef50_A0A820F5V8 VCBS repeat-containing protein (Fragment) n=2 Tax=Adineta steineri TaxID=433720 RepID=A0A820F5V8_9BILA
DATA	>UniRef50_A0A7S3LZ86 PABC domain-containing protein (Fragment) n=1 Tax=Spumella elongata TaxID=89044 RepID=A0A7S3LZ86_9STRA
DATA	>UniRef50_UPI003F53CCD4 acyltransferase domain-containing protein n=2 Tax=Streptosporangium sp. V21-05 TaxID=3446115 RepID=UPI003F53CCD4
DATA	>UniRef50_UPI00280070C9 hydantoinase/oxoprolinase family protein n=1 Tax=Arthrobacter sp. 4R501 TaxID=2058886 RepID=UPI00280070C9
DATA	>UniRef50_UPI000AB2A830 hypothetical protein n=2 Tax=Nocardia TaxID=1817 RepID=UPI000AB2A830
DATA	>UniRef50_A0A2S2PZ67 Uncharacterized protein (Fragment) n=1 Tax=Sipha flava TaxID=143950 RepID=A0A2S2PZ67_9HEMI
DATA	>UniRef50_A0A7R9T176 Uncharacterized protein (Fragment) n=1 Tax=Ostreococcus sp. 'lucimarinus' TaxID=242159 RepID=A0A7R9T176_9CHLO
DATA	>UniRef50_A0A543HHC4 Methyltransferase family protein (Fragment) n=1 Tax=Humibacillus xanthopallidus TaxID=412689 RepID=A0A543HHC4_9MICO
DATA	>UniRef50_A0A1B6IJM9 Uncharacterized protein (Fragment) n=1 Tax=Homalodisca liturata TaxID=320908 RepID=A0A1B6IJM9_9HEMI
DATA	>UniRef50_A0A7S2D2R9 Uncharacterized protein (Fragment) n=1 Tax=Alexandrium andersonii TaxID=327968 RepID=A0A7S2D2R9_9DINO
DATA	>UniRef50_UPI00397D2D13 phosphatidylserine decarboxylase n=1 Tax=Paraburkholderia sp. SIMBA_053 TaxID=3085794 RepID=UPI00397D2D13
DATA	>UniRef50_A0A7S1EHG8 Uncharacterized protein (Fragment) n=2 Tax=Hemiselmis andersenii TaxID=464988 RepID=A0A7S1EHG8_HEMAN
DATA	>UniRef50_T1CL23 Glycosyltransferase (Fragment) n=1 Tax=mine drainage metagenome TaxID=410659 RepID=T1CL23_9ZZZZ
DATA	>UniRef50_UPI0036288B47 class I tRNA ligase family protein n=1 Tax=Priestia megaterium TaxID=1404 RepID=UPI0036288B47
DATA	>UniRef50_A0AAW9IIS5 HAD hydrolase family protein (Fragment) n=4 Tax=Bacteria TaxID=2 RepID=A0AAW9IIS5_CLOPF
DATA	>UniRef50_UPI00227657F2 DUF669 domain-containing protein n=1 Tax=Staphylococcus pettenkoferi TaxID=170573 RepID=UPI00227657F2
DATA	>UniRef50_A0A6V7H158 Uncharacterized protein (Fragment) n=1 Tax=Heterotrigona itama TaxID=395501 RepID=A0A6V7H158_9HYME
DATA	>UniRef50_A0A7S1LAH8 Uncharacterized protein (Fragment) n=1 Tax=Neobodo designis TaxID=312471 RepID=A0A7S1LAH8_NEODS
DATA	>UniRef50_G1K0G5 Uncharacterized protein (Fragment) n=1 Tax=Rhodnius prolixus TaxID=13249 RepID=G1K0G5_RHOPR
DATA	>UniRef50_A0A7J6STX2 Uncharacterized protein (Fragment) n=1 Tax=Perkinsus olseni TaxID=32597 RepID=A0A7J6STX2_PEROL
DATA	>UniRef50_A0A7R9W2F8 Uncharacterized protein (Fragment) n=1 Tax=Pseudictyota dubia TaxID=2749911 RepID=A0A7R9W2F8_9STRA
DATA	>UniRef50_A0A8I5NB18 Transmembrane protein 42 n=5 Tax=Boreoeutheria TaxID=1437010 RepID=A0A8I5NB18_PAPAN
DATA	>UniRef50_A0A7S4R1T2 Uncharacterized protein (Fragment) n=1 Tax=Alexandrium monilatum TaxID=311494 RepID=A0A7S4R1T2_9DINO
DATA	>UniRef50_X1FMP7 Uncharacterized protein (Fragment) n=1 Tax=marine sediment metagenome TaxID=412755 RepID=X1FMP7_9ZZZZ
DATA	>UniRef50_A0A8J9SMY0 Uncharacterized protein (Fragment) n=1 Tax=Phaeodactylum tricornutum TaxID=2850 RepID=A0A8J9SMY0_PHATR
DATA	>UniRef50_A0A8B9HB42 Uncharacterized protein n=1 Tax=Astyanax mexicanus TaxID=7994 RepID=A0A8B9HB42_ASTMX
DATA	>UniRef50_UPI00260B72EA DUF3458 domain-containing protein n=1 Tax=uncultured Legionella sp. TaxID=210934 RepID=UPI00260B72EA
DATA	>UniRef50_A0A7S0FTL1 MalT-like TPR region domain-containing protein (Fragment) n=1 Tax=Pyrodinium bahamense TaxID=73915 RepID=A0A7S0FTL1_9DINO
DATA	>UniRef50_A0AAV6YF77 Nuclear receptor domain-containing protein (Fragment) n=11 Tax=Bilateria TaxID=33213 RepID=A0AAV6YF77_ENGPU
DATA	>UniRef50_UPI0011AED0DB RNA-guided endonuclease InsQ/TnpB family protein n=10 Tax=Cyanophyceae TaxID=3028117 RepID=UPI0011AED0DB
DATA	>UniRef50_A0ACB8SZ91 Uncharacterized protein (Fragment) n=1 Tax=Artomyces pyxidatus TaxID=48021 RepID=A0ACB8SZ91_9AGAM
DATA	>UniRef50_A0AAD5H0B3 Uncharacterized protein (Fragment) n=1 Tax=Ambrosia artemisiifolia TaxID=4212 RepID=A0AAD5H0B3_AMBAR
DATA	>UniRef50_A0AAQ3XDW4 Transposase (Fragment) n=1 Tax=Paspalum notatum var. saurae TaxID=547442 RepID=A0AAQ3XDW4_PASNO
DATA	>UniRef50_A0A7S1W0G6 Bestrophin homolog (Fragment) n=1 Tax=Alexandrium catenella TaxID=2925 RepID=A0A7S1W0G6_ALECA
DATA	>UniRef50_A0A367LBX7 Uncharacterized protein (Fragment) n=3 Tax=Ophiocordyceps polyrhachis-furcata BCC 54312 TaxID=1330021 RepID=A0A367LBX7_9HYPO
DATA	>UniRef50_UPI00355A2259 keratin-associated protein 5-2-like n=1 Tax=Heptranchias perlo TaxID=212740 RepID=UPI00355A2259
DATA	>UniRef50_I0CFH9 Pol protein (Fragment) n=3 Tax=Human immunodeficiency virus type 1 TaxID=11676 RepID=I0CFH9_HV1
DATA	>UniRef50_F6JCK1 CG8995 (Fragment) n=2 Tax=Drosophila melanogaster TaxID=7227 RepID=F6JCK1_DROME
DATA	>UniRef50_A0A4P9VX75 P-type ATPase C-terminal domain-containing protein (Fragment) n=1 Tax=Blyttiomyces helicus TaxID=388810 RepID=A0A4P9VX75_9FUNG
DATA	>UniRef50_A0A401TPZ6 C2H2-type domain-containing protein (Fragment) n=1 Tax=Chiloscyllium punctatum TaxID=137246 RepID=A0A401TPZ6_CHIPU
DATA	>UniRef50_A0A8C5SSS0 Deubiquitinase DESI2 n=6 Tax=Euteleostomi TaxID=117571 RepID=A0A8C5SSS0_LATLA
DATA	>UniRef50_UPI00354C1572 hypothetical protein n=3 Tax=unclassified Shewanella TaxID=196818 RepID=UPI00354C1572
DATA	>UniRef50_S4RWX3 TBC1 domain family member 14 n=14 Tax=Vertebrata TaxID=7742 RepID=S4RWX3_PETMA
DATA	>UniRef50_UPI00397C68F8 hypothetical protein n=1 Tax=Paraburkholderia sp. SIMBA_053 TaxID=3085794 RepID=UPI00397C68F8
DATA	>UniRef50_A0A7S0VXU7 Tyrosine-protein kinase ephrin type A/B receptor-like domain-containing protein (Fragment) n=1 Tax=Hemiselmis tepida TaxID=464990 RepID=A0A7S0VXU7_9CRYP
DATA	>UniRef50_UPI0011A10C56 Nramp family divalent metal transporter n=2 Tax=Micrococcus TaxID=1269 RepID=UPI0011A10C56
DATA	>UniRef50_U9TT98 Uncharacterized protein (Fragment) n=1 Tax=Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) TaxID=747089 RepID=U9TT98_RHIID
DATA	>UniRef50_A0A7J6QFC6 Uncharacterized protein (Fragment) n=1 Tax=Perkinsus olseni TaxID=32597 RepID=A0A7J6QFC6_PEROL
DATA	>UniRef50_A0A7S1RZF6 Uncharacterized protein (Fragment) n=1 Tax=Alexandrium catenella TaxID=2925 RepID=A0A7S1RZF6_ALECA
DATA	>UniRef50_A0A1A8VEC0 Adenomatosis polyposis coli 2 (Fragment) n=3 Tax=Atherinomorphae TaxID=1489913 RepID=A0A1A8VEC0_NOTFU
DATA	>UniRef50_UPI001BCF901E peptidoglycan DD-metalloendopeptidase family protein n=1 Tax=Vannielia litorea TaxID=1217970 RepID=UPI001BCF901E
DATA	>UniRef50_A0A0H5QJV3 Secreted protein (Fragment) n=1 Tax=Spongospora subterranea TaxID=70186 RepID=A0A0H5QJV3_9EUKA
DATA	>UniRef50_A0AAV5UYQ2 ZP domain-containing protein (Fragment) n=1 Tax=Pristionchus fissidentatus TaxID=1538716 RepID=A0AAV5UYQ2_9BILA
DATA	>UniRef50_A0A1Y1JRM0 Orn/DAP/Arg decarboxylase 2 N-terminal domain-containing protein (Fragment) n=1 Tax=Photinus pyralis TaxID=7054 RepID=A0A1Y1JRM0_PHOPY
DATA	>UniRef50_T0ZE10 KilA-N DNA-binding domain-containing protein (Fragment) n=1 Tax=mine drainage metagenome TaxID=410659 RepID=T0ZE10_9ZZZZ
DATA	>UniRef50_UPI000F969F71 ComEC/Rec2 family competence protein n=1 Tax=Pedobacter sp. KBW01 TaxID=2153364 RepID=UPI000F969F71
DATA	>UniRef50_A0A7S2VCD6 Uncharacterized protein (Fragment) n=2 Tax=Entomoneis paludosa TaxID=265537 RepID=A0A7S2VCD6_9STRA
DATA	>UniRef50_A0A5J4ND73 Uncharacterized protein (Fragment) n=1 Tax=Paragonimus westermani TaxID=34504 RepID=A0A5J4ND73_9TREM
DATA	>UniRef50_UPI0035A25307 hypothetical protein n=1 Tax=Cellulomonas biazotea TaxID=1709 RepID=UPI0035A25307
DATA	>UniRef50_UPI003FEF2FE3 cation diffusion facilitator family transporter n=1 Tax=Lachnospira sp. TaxID=2049031 RepID=UPI003FEF2FE3
DATA	>UniRef50_A0ABD6EBR2 Ras-GEF domain-containing protein (Fragment) n=3 Tax=Rhabditida TaxID=6236 RepID=A0ABD6EBR2_9BILA
DATA	>UniRef50_A0A672IJC3 SRCR domain-containing protein n=6 Tax=Salarias fasciatus TaxID=181472 RepID=A0A672IJC3_SALFA
DATA	>UniRef50_A0A094LIR5 Butyrophilin subfamily 2 member A1 (Fragment) n=5 Tax=Neoaves TaxID=3078114 RepID=A0A094LIR5_PODCR
DATA	>UniRef50_A0A820FA63 HAT C-terminal dimerisation domain-containing protein (Fragment) n=3 Tax=Rotaria TaxID=231623 RepID=A0A820FA63_9BILA
DATA	>UniRef50_A0A5J9SCR3 Uncharacterized protein (Fragment) n=1 Tax=Eragrostis curvula TaxID=38414 RepID=A0A5J9SCR3_9POAL
DATA	>UniRef50_A0A6J4SIL9 PNPLA domain-containing protein (Fragment) n=1 Tax=uncultured Rubrobacteraceae bacterium TaxID=349277 RepID=A0A6J4SIL9_9ACTN
DATA	>UniRef50_Q19Q30 Metallothionein-like (Fragment) n=1 Tax=Belgica antarctica TaxID=315563 RepID=Q19Q30_9DIPT
DATA	>UniRef50_UPI00125EB0F0 ABC transporter permease n=1 Tax=Bacteroides xylanisolvens TaxID=371601 RepID=UPI00125EB0F0
DATA	>UniRef50_A0ABQ9EM13 Uncharacterized protein (Fragment) n=2 Tax=Pteriomorphia TaxID=6545 RepID=A0ABQ9EM13_TEGGR
DATA	>UniRef50_UPI000ACE6F07 hypothetical protein n=1 Tax=Clostridium botulinum TaxID=1491 RepID=UPI000ACE6F07
DATA	>UniRef50_UPI002E103F7E transposase n=1 Tax=Streptomyces sp. Wh19 TaxID=3076629 RepID=UPI002E103F7E
DATA	>UniRef50_A0A7S2H0Z2 Uncharacterized protein (Fragment) n=1 Tax=Haptolina brevifila TaxID=156173 RepID=A0A7S2H0Z2_9EUKA
DATA	>UniRef50_A0A0K8SLZ0 Integrase p58-like C-terminal domain-containing protein (Fragment) n=1 Tax=Lygus hesperus TaxID=30085 RepID=A0A0K8SLZ0_LYGHE
DATA	>UniRef50_UPI001E4351E1 AMP-binding enzyme n=1 Tax=Streptomyces longispororuber TaxID=68230 RepID=UPI001E4351E1
DATA	>UniRef50_A0A1M6S8U8 Cyclase (Fragment) n=3 Tax=Actinomycetes TaxID=1760 RepID=A0A1M6S8U8_PSETH
DATA	>UniRef50_A0A8S9GIA5 Peptidase A1 domain-containing protein (Fragment) n=1 Tax=Brassica cretica TaxID=69181 RepID=A0A8S9GIA5_BRACR
DATA	>UniRef50_A0A8C2NVE3 Lipocalin/cytosolic fatty-acid binding domain-containing protein n=2 Tax=Caprinae TaxID=9963 RepID=A0A8C2NVE3_CAPHI
DATA	>UniRef50_F3C6X8 Error-prone DNA polymerase (Fragment) n=2 Tax=Pseudomonadota TaxID=1224 RepID=F3C6X8_PSESG
DATA	>UniRef50_A0A7S3YWF0 J domain-containing protein (Fragment) n=1 Tax=Lotharella globosa TaxID=91324 RepID=A0A7S3YWF0_9EUKA
DATA	>UniRef50_A0A2U2DSF6 Uncharacterized protein n=1 Tax=Metarhizobium album TaxID=2182425 RepID=A0A2U2DSF6_9HYPH
DATA	>UniRef50_A0A401SXK0 Uncharacterized protein n=1 Tax=Chiloscyllium punctatum TaxID=137246 RepID=A0A401SXK0_CHIPU
DATA	>UniRef50_UPI0025C72328 putative phage tail protein n=2 Tax=Fibrobacter TaxID=832 RepID=UPI0025C72328
DATA	>UniRef50_A0A502BP74 Type II secretion system F family protein n=1 Tax=Brucella gallinifaecis TaxID=215590 RepID=A0A502BP74_9HYPH
DATA	>UniRef50_A0A7S2P254 Uncharacterized protein (Fragment) n=1 Tax=Zooxanthella nutricula TaxID=1333877 RepID=A0A7S2P254_9DINO
DATA	>UniRef50_D5BTK5 DNA (cytosine-5-)-methyltransferase n=1 Tax=Puniceispirillum marinum (strain IMCC1322) TaxID=488538 RepID=D5BTK5_PUNMI
DATA	>UniRef50_UPI001EF55E7F hypothetical protein n=1 Tax=Epibacterium sp. Ofav1-8 TaxID=2917735 RepID=UPI001EF55E7F
DATA	>UniRef50_A0A1Q8S8Z9 Uncharacterized protein n=1 Tax=Colletotrichum chlorophyti TaxID=708187 RepID=A0A1Q8S8Z9_9PEZI
DATA	>UniRef50_A0A7C9ERV8 Receptor protein serine/threonine kinase (Fragment) n=4 Tax=Pentapetalae TaxID=1437201 RepID=A0A7C9ERV8_OPUST
DATA	>UniRef50_A0A1D7YC47 Uncharacterized protein n=1 Tax=Streptomyces fodineus TaxID=1904616 RepID=A0A1D7YC47_9ACTN
